question_text,code_snippet,correct_answer,wrong_answer1,wrong_answer2,wrong_answer3
What keyword starts a while loop in Python?,,while,loop,for,dowhile
What is the minimum number of times a while loop executes?,,0,1,2,Infinite
How do you exit a while loop prematurely?,,break,exit,return,stop
What is an infinite while loop?,,while True:,while true:,while 1:,while infinite:
What does continue do in a while loop?,,Skips to the next iteration,Exits the loop,Pauses execution,Does nothing
What happens if the condition is false initially?,,The loop never executes,The loop runs once,Error occurs,Infinite loop
What keyword is used for conditions in Python while?,,No keyword needed after while,if,when,check
How do you create a counter-controlled while loop?,"i = 0\nwhile i < 5:\n    i += 1","while i < 5:\n    i++","for i in range(5):","while i in range(5):"
What is the output: x=0; while x<3: x+=1?,"x = 3","x = 2","x = 4","x = 0"
Can while loops be nested?,,Yes,No,Only once,Only with break
