question_text,code_snippet,correct_answer,wrong_answer1,wrong_answer2,wrong_answer3
What keyword starts a while loop in Java?,,while,loop,for,dowhile
What is the minimum number of times a while loop executes?,,0,1,2,Infinite
How do you exit a while loop prematurely?,,break,exit,return,stop
What is an infinite while loop?,,while(true),while(1),while(false),while(infinite)
Which loop checks condition before each iteration?,,while,dowhile,for-each,switch
What does continue do in a while loop?,,Skips to the next iteration,Exits the loop,Pauses execution,Does nothing
What happens if the condition is false initially?,,The loop never executes,The loop runs once,Compiler error,Infinite loop
How do you increment a counter in a while loop?,,i++ inside the loop body,i++ in the condition,auto increment,loop++
What is the output of: int x=0; while(x<3){x++;}?,"x = 3","x = 2","x = 4","x = 0"
Can a while loop be empty?,,Yes, only a semicolon,No,Yes, with no braces,Only with break
