question_text,code_snippet,correct_answer,wrong_answer1,wrong_answer2,wrong_answer3
Which of the following data types is used to store whole numbers in C?,,int,float,char,double
Which format specifier would you use to print a float value in C?,,%f,%d,%c,%s
Which data type is used for a single character in C?,,char,int,string,float
How many bytes does the 'double' data type take in C?,,8 bytes,2 bytes,4 bytes,16 bytes
What is the correct format specifier to print an integer in C?,,%d,%f,%s,%c
Which data type is used to store fractional numbers in C?,,float,int,double,char
Which data type would you use to store a true/false value in C?,,int,boolean,char,float
What is the correct syntax to declare a float variable in C?,,float x = 5.5;,float x = 5;,int x = 5.5;,double x = 5.5;
Which of the following data types is used to store a character in C?,,char,string,float,boolean
Which of the following will correctly declare a variable to store a single character in C?,,char myLetter = 'A';,int myLetter = 'A';,char myLetter = 65;,string myLetter = 'A';
