question_text,code_snippet,correct_answer,wrong_answer1,wrong_answer2,wrong_answer3
What is a Linked List?,,Linear collection of nodes with data and next pointer,Array of connected elements,Tree structure,Circular array
What is the time complexity of insertion at head?,,O(1),O(n),O(log n),O(n^2)
What is the time complexity of insertion at tail?,,O(n) or O(1) with tail pointer,O(1) always,O(n) always,O(log n)
What is the time complexity of searching?,,O(n),O(1),O(log n),O(n^2)
What does the last node point to in singly linked list?,,null,head,first node,itself
How do you traverse a linked list?,,Follow next pointers until null,Use index,Use for loop with size,Direct access
What is a doubly linked list?,,Nodes with next and previous pointers,Nodes with two data fields,List with two heads,Two connected lists
What is a circular linked list?,,Last node points to head,First node points to last,List in a circle,Recyclable list
What class provides linked list in Java?,,LinkedList,LinkedNode,ListOfLinks,List
What is Node in LinkedList?,,Inner class with data and next reference,Built-in type,Primitive type,Array element
